Mean 174.0029296875	 Max 377	 Min 108	 Std 45.79558213386343
Mean 343.939453125	 Max 540	 Min 101	 Std 70.81390834663716
Mean 344.3828125	 Max 531	 Min 104	 Std 45.28591825379986
Mean 367.2607421875	 Max 541	 Min 121	 Std 53.102397598405645
Mean 377.583984375	 Max 587	 Min 107	 Std 57.38586479155608
Mean 372.40625	 Max 548	 Min 101	 Std 57.89241942225683
Mean 384.2265625	 Max 593	 Min 119	 Std 55.47771439446288
Mean 390.1103515625	 Max 615	 Min 101	 Std 54.667715441521366
Mean 386.2421875	 Max 595	 Min 101	 Std 55.91577735947917
Mean 411.271484375	 Max 653	 Min 101	 Std 75.6245643540122
Mean 419.748046875	 Max 576	 Min 101	 Std 62.5083041053171
Mean 405.7900390625	 Max 621	 Min 107	 Std 50.94817620476933
Mean 411.8544921875	 Max 586	 Min 204	 Std 49.48201732360961
Mean 418.1728515625	 Max 696	 Min 124	 Std 51.508062222334104
Mean 417.9462890625	 Max 651	 Min 101	 Std 50.52281397866406
Mean 424.4111328125	 Max 628	 Min 101	 Std 61.13945631298978
Mean 418.529296875	 Max 595	 Min 104	 Std 55.99645218509933
Mean 429.4482421875	 Max 602	 Min 101	 Std 58.975756877329225
